AOA,CL Open,CL open Max,CL open min,CL open mean ,CL Closed,CL Closed max,Cl closed min ,Cl closed mean ,tPA_closed,tPA_open
0.52073,-0.05111,0.061355,-0.073243,-0.015365433,-0.0011078,0.040699,-0.033892,-8.48588E-06,6.3201,6.3201
0.52109,-0.051117,0.061355,-0.073243,-0.015365433,-0.0010819,0.040699,-0.033892,-8.48588E-06,6.3211,6.3211
0.52135,-0.051123,0.061355,-0.073243,-0.015365433,-0.0010562,0.040699,-0.033892,-8.48588E-06,6.3221,6.3221
0.52169,-0.051131,0.061355,-0.073243,-0.015365433,-0.0010308,0.040699,-0.033892,-8.48588E-06,6.3231,6.3231
0.52197,-0.051138,0.061355,-0.073243,-0.015365433,-0.0010057,0.040699,-0.033892,-8.48588E-06,6.3241,6.3241
0.52226,-0.051145,0.061355,-0.073243,-0.015365433,-0.000981,0.040699,-0.033892,-8.48588E-06,6.3251,6.3251
0.52255,-0.051153,0.061355,-0.073243,-0.015365433,-0.00095669,0.040699,-0.033892,-8.48588E-06,6.3261,6.3261
0.52281,-0.051161,0.061355,-0.073243,-0.015365433,-0.00093285,0.040699,-0.033892,-8.48588E-06,6.3271,6.3271
0.52312,-0.051169,0.061355,-0.073243,-0.015365433,-0.00090954,0.040699,-0.033892,-8.48588E-06,6.3281,6.3281
0.52336,-0.051177,0.061355,-0.073243,-0.015365433,-0.00088681,0.040699,-0.033892,-8.48588E-06,6.3291,6.3291
0.52367,-0.051185,0.061355,-0.073243,-0.015365433,-0.00086473,0.040699,-0.033892,-8.48588E-06,6.3301,6.3301
0.52396,-0.051194,0.061355,-0.073243,-0.015365433,-0.00084335,0.040699,-0.033892,-8.48588E-06,6.3311,6.3311
0.52432,-0.051202,0.061355,-0.073243,-0.015365433,-0.00082274,0.040699,-0.033892,-8.48588E-06,6.3321,6.3321
0.52465,-0.051211,0.061355,-0.073243,-0.015365433,-0.00080296,0.040699,-0.033892,-8.48588E-06,6.3331,6.3331
0.52494,-0.05122,0.061355,-0.073243,-0.015365433,-0.00078409,0.040699,-0.033892,-8.48588E-06,6.3341,6.3341
0.52528,-0.051229,0.061355,-0.073243,-0.015365433,-0.00076617,0.040699,-0.033892,-8.48588E-06,6.3351,6.3351
0.52559,-0.051237,0.061355,-0.073243,-0.015365433,-0.0007493,0.040699,-0.033892,-8.48588E-06,6.3361,6.3361
0.5259,-0.051246,0.061355,-0.073243,-0.015365433,-0.00073352,0.040699,-0.033892,-8.48588E-06,6.3371,6.3371
0.52626,-0.051255,0.061355,-0.073243,-0.015365433,-0.00071891,0.040699,-0.033892,-8.48588E-06,6.3381,6.3381
0.52666,-0.051264,0.061355,-0.073243,-0.015365433,-0.00070554,0.040699,-0.033892,-8.48588E-06,6.3391,6.3391
0.527,-0.051273,0.061355,-0.073243,-0.015365433,-0.00069347,0.040699,-0.033892,-8.48588E-06,6.3401,6.3401
0.52736,-0.051282,0.061355,-0.073243,-0.015365433,-0.00068277,0.040699,-0.033892,-8.48588E-06,6.3411,6.3411
0.52774,-0.051291,0.061355,-0.073243,-0.015365433,-0.00067351,0.040699,-0.033892,-8.48588E-06,6.3421,6.3421
0.52808,-0.051299,0.061355,-0.073243,-0.015365433,-0.00066574,0.040699,-0.033892,-8.48588E-06,6.3431,6.3431
0.52851,-0.051308,0.061355,-0.073243,-0.015365433,-0.00065953,0.040699,-0.033892,-8.48588E-06,6.3441,6.3441
0.52889,-0.051316,0.061355,-0.073243,-0.015365433,-0.00065493,0.040699,-0.033892,-8.48588E-06,6.3451,6.3451
0.5293,-0.051325,0.061355,-0.073243,-0.015365433,-0.000652,0.040699,-0.033892,-8.48588E-06,6.3461,6.3461
0.5298,-0.051333,0.061355,-0.073243,-0.015365433,-0.00065081,0.040699,-0.033892,-8.48588E-06,6.3471,6.3471
0.53023,-0.051341,0.061355,-0.073243,-0.015365433,-0.00065138,0.040699,-0.033892,-8.48588E-06,6.3481,6.3481
0.53071,-0.051348,0.061355,-0.073243,-0.015365433,-0.00065378,0.040699,-0.033892,-8.48588E-06,6.3491,6.3491
0.53116,-0.051356,0.061355,-0.073243,-0.015365433,-0.00065803,0.040699,-0.033892,-8.48588E-06,6.3501,6.3501
0.53155,-0.051363,0.061355,-0.073243,-0.015365433,-0.00066419,0.040699,-0.033892,-8.48588E-06,6.3511,6.3511
0.532,-0.05137,0.061355,-0.073243,-0.015365433,-0.00067228,0.040699,-0.033892,-8.48588E-06,6.3521,6.3521
0.53238,-0.051377,0.061355,-0.073243,-0.015365433,-0.00068233,0.040699,-0.033892,-8.48588E-06,6.3531,6.3531
0.53289,-0.051384,0.061355,-0.073243,-0.015365433,-0.00069437,0.040699,-0.033892,-8.48588E-06,6.3541,6.3541
0.53334,-0.051391,0.061355,-0.073243,-0.015365433,-0.00070842,0.040699,-0.033892,-8.48588E-06,6.3551,6.3551
0.53382,-0.051397,0.061355,-0.073243,-0.015365433,-0.00072448,0.040699,-0.033892,-8.48588E-06,6.3561,6.3561
0.53425,-0.051403,0.061355,-0.073243,-0.015365433,-0.00074257,0.040699,-0.033892,-8.48588E-06,6.3571,6.3571
0.53471,-0.051408,0.061355,-0.073243,-0.015365433,-0.00076269,0.040699,-0.033892,-8.48588E-06,6.3581,6.3581
0.53511,-0.051414,0.061355,-0.073243,-0.015365433,-0.00078483,0.040699,-0.033892,-8.48588E-06,6.3591,6.3591
0.53552,-0.051419,0.061355,-0.073243,-0.015365433,-0.000809,0.040699,-0.033892,-8.48588E-06,6.3601,6.3601
0.53593,-0.051424,0.061355,-0.073243,-0.015365433,-0.00083516,0.040699,-0.033892,-8.48588E-06,6.3611,6.3611
0.53643,-0.051429,0.061355,-0.073243,-0.015365433,-0.00086332,0.040699,-0.033892,-8.48588E-06,6.3621,6.3621
0.53686,-0.051434,0.061355,-0.073243,-0.015365433,-0.00089343,0.040699,-0.033892,-8.48588E-06,6.3631,6.3631
0.53741,-0.051439,0.061355,-0.073243,-0.015365433,-0.00092547,0.040699,-0.033892,-8.48588E-06,6.3641,6.3641
0.53779,-0.051443,0.061355,-0.073243,-0.015365433,-0.00095941,0.040699,-0.033892,-8.48588E-06,6.3651,6.3651
0.53822,-0.051448,0.061355,-0.073243,-0.015365433,-0.00099521,0.040699,-0.033892,-8.48588E-06,6.3661,6.3661
0.53861,-0.051452,0.061355,-0.073243,-0.015365433,-0.0010328,0.040699,-0.033892,-8.48588E-06,6.3671,6.3671
0.53894,-0.051457,0.061355,-0.073243,-0.015365433,-0.0010722,0.040699,-0.033892,-8.48588E-06,6.3681,6.3681
0.53935,-0.051461,0.061355,-0.073243,-0.015365433,-0.0011132,0.040699,-0.033892,-8.48588E-06,6.3691,6.3691
0.5398,-0.051465,0.061355,-0.073243,-0.015365433,-0.0011559,0.040699,-0.033892,-8.48588E-06,6.3701,6.3701
0.54023,-0.05147,0.061355,-0.073243,-0.015365433,-0.0012002,0.040699,-0.033892,-8.48588E-06,6.3711,6.3711
0.54067,-0.051474,0.061355,-0.073243,-0.015365433,-0.001246,0.040699,-0.033892,-8.48588E-06,6.3721,6.3721
0.5411,-0.051479,0.061355,-0.073243,-0.015365433,-0.0012933,0.040699,-0.033892,-8.48588E-06,6.3731,6.3731
0.54148,-0.051483,0.061355,-0.073243,-0.015365433,-0.0013419,0.040699,-0.033892,-8.48588E-06,6.3741,6.3741
0.54196,-0.051488,0.061355,-0.073243,-0.015365433,-0.0013918,0.040699,-0.033892,-8.48588E-06,6.3751,6.3751
0.54236,-0.051493,0.061355,-0.073243,-0.015365433,-0.001443,0.040699,-0.033892,-8.48588E-06,6.3761,6.3761
0.54277,-0.051499,0.061355,-0.073243,-0.015365433,-0.0014952,0.040699,-0.033892,-8.48588E-06,6.3771,6.3771
0.5432,-0.051505,0.061355,-0.073243,-0.015365433,-0.0015486,0.040699,-0.033892,-8.48588E-06,6.3781,6.3781
0.54363,-0.051511,0.061355,-0.073243,-0.015365433,-0.0016029,0.040699,-0.033892,-8.48588E-06,6.3791,6.3791
0.54404,-0.051517,0.061355,-0.073243,-0.015365433,-0.001658,0.040699,-0.033892,-8.48588E-06,6.3801,6.3801
0.5444,-0.051524,0.061355,-0.073243,-0.015365433,-0.001714,0.040699,-0.033892,-8.48588E-06,6.3811,6.3811
0.54483,-0.051531,0.061355,-0.073243,-0.015365433,-0.0017706,0.040699,-0.033892,-8.48588E-06,6.3821,6.3821
0.54524,-0.051539,0.061355,-0.073243,-0.015365433,-0.0018279,0.040699,-0.033892,-8.48588E-06,6.3831,6.3831
0.54557,-0.051548,0.061355,-0.073243,-0.015365433,-0.0018857,0.040699,-0.033892,-8.48588E-06,6.3841,6.3841
0.54593,-0.051557,0.061355,-0.073243,-0.015365433,-0.0019439,0.040699,-0.033892,-8.48588E-06,6.3851,6.3851
0.54629,-0.051566,0.061355,-0.073243,-0.015365433,-0.0020025,0.040699,-0.033892,-8.48588E-06,6.3861,6.3861
0.5466,-0.051576,0.061355,-0.073243,-0.015365433,-0.0020613,0.040699,-0.033892,-8.48588E-06,6.3871,6.3871
0.54696,-0.051587,0.061355,-0.073243,-0.015365433,-0.0021202,0.040699,-0.033892,-8.48588E-06,6.3881,6.3881
0.54727,-0.051599,0.061355,-0.073243,-0.015365433,-0.0021793,0.040699,-0.033892,-8.48588E-06,6.3891,6.3891
0.54761,-0.051611,0.061355,-0.073243,-0.015365433,-0.0022383,0.040699,-0.033892,-8.48588E-06,6.3901,6.3901
0.54797,-0.051624,0.061355,-0.073243,-0.015365433,-0.0022972,0.040699,-0.033892,-8.48588E-06,6.3911,6.3911
0.54823,-0.051637,0.061355,-0.073243,-0.015365433,-0.002356,0.040699,-0.033892,-8.48588E-06,6.3921,6.3921
0.54852,-0.051652,0.061355,-0.073243,-0.015365433,-0.0024145,0.040699,-0.033892,-8.48588E-06,6.3931,6.3931
0.54876,-0.051667,0.061355,-0.073243,-0.015365433,-0.0024726,0.040699,-0.033892,-8.48588E-06,6.3941,6.3941
0.54904,-0.051682,0.061355,-0.073243,-0.015365433,-0.0025303,0.040699,-0.033892,-8.48588E-06,6.3951,6.3951
0.54931,-0.051699,0.061355,-0.073243,-0.015365433,-0.0025875,0.040699,-0.033892,-8.48588E-06,6.3961,6.3961
0.54959,-0.051717,0.061355,-0.073243,-0.015365433,-0.002644,0.040699,-0.033892,-8.48588E-06,6.3971,6.3971
0.54986,-0.051735,0.061355,-0.073243,-0.015365433,-0.0027,0.040699,-0.033892,-8.48588E-06,6.3981,6.3981
0.5501,-0.051754,0.061355,-0.073243,-0.015365433,-0.0027552,0.040699,-0.033892,-8.48588E-06,6.3991,6.3991
0.55036,-0.051773,0.061355,-0.073243,-0.015365433,-0.0028096,0.040699,-0.033892,-8.48588E-06,6.4001,6.4001
0.55057,-0.051794,0.061355,-0.073243,-0.015365433,-0.0028632,0.040699,-0.033892,-8.48588E-06,6.4011,6.4011
0.55081,-0.051815,0.061355,-0.073243,-0.015365433,-0.0029158,0.040699,-0.033892,-8.48588E-06,6.4021,6.4021
0.55101,-0.051837,0.061355,-0.073243,-0.015365433,-0.0029674,0.040699,-0.033892,-8.48588E-06,6.4031,6.4031
0.55124,-0.05186,0.061355,-0.073243,-0.015365433,-0.003018,0.040699,-0.033892,-8.48588E-06,6.4041,6.4041
